"Số cặp nghi vấn trùng nhau: 7"
"Data";"Score"
"Tô Linh Sỹ; 1982/01/01; Phường Long Toàn, Thành phố Bà Rịa, Tỉnh Bà Rịa - Vũng Tàu; 273112924";"1.0"
"Tô Linh Sĩ; 1982/02/10; Phường Long Toàn, Thành phố Bà Rịa, Tỉnh Bà Rịa - Vũng Tàu; 273112924";"1.0"
"Trần Ngọc Mai; 1990/12/23; Thành phố Hải Phòng; 12345678";"0.9193047611017956"
"Trần Ngọc Mai; 1990/12/23; Thành phố Bắc Giang, Tỉnh Bắc Giang; 12345678";"0.9193047611017956"
"Nguyễn Văn An; 2002/12/08; Hà Nội; 012345";"1.0"
"Nguyễn Văn An; 2002/12/08; Hà Nội; 012345";"1.0"
"Tiêu Ngọc Linh; 1960/08/14; Phường 15,Quận 10, Thành phố Hồ Chí Minh; 22457841";"0.9798261902754489"
"﻿Tiêu Ngọc Linh; 1960/08/14; Phường 07,Quận 10, Thành phố Hồ Chí Minh; 22457841";"0.9798261902754489"
"Phạm Văn Đức; 1995/09/14; Phường 6, Quận Tân Bình, Thành phố Hồ Chí Minh; 89101112";"0.9627353608339105"
"Phạm Văn Đức; 1995/09/14; Phường 4, Quận Tân Bình, Thành phố Hồ Chí Minh; 89101112";"0.9627353608339105"
"Trần Thị Hạ; 1978/05/20; Phường 12, Quận 3, Thành phố Hồ Chí Minh; 56789012";"0.9820677246892879"
"Trần Thị Hạ; 1978/05/20; Phường 7, Quận 3, Thành phố Hồ Chí Minh; 56789012";"0.9820677246892879"
"Nguyễn Văn Hùng; 1972/05/31; Phường Bình Trưng Đông, Quận 2, Thành phố Hồ Chí Minh; 34567890";"0.955984415146434"
"Nguyễn Văn Hùng; 1972/05/31; Phường Thảo Điền, Quận 2, Thành phố Hồ Chí Minh; 34567890";"0.955984415146434"
